id,type_id,action_id,scene_id,target_objs_id,target_actions,meaning,language_words_op,language_words_ad,gesture_words_ad,g_pointing_obj_probs
00-00-38-3_0,3,0,00-00,['00-00-07-cyl-r-03'],['push'],push red solid,"[['red', 'solid']]",[['move']],[['g0']],"[[0.23222605139938127, 1.0, 1.0, 0.23094437367078946, 0.11596090504403023, 0.31725296663189706, 0.10361570325390206, 1.0]]"
00-00-39-4_0,4,0,00-00,['00-00-07-cyl-r-03'],['push'],push red small solid,"[['red', 'small', 'solid']]",[['move']],[['g0']],"[[0.24702071069275705, 1.0, 1.0, 0.22086651918711256, 0.11909362684142928, 0.3050884634843621, 0.10793067979433908, 1.0]]"
00-01-0-0_0,0,0,00-01,['00-01-00-cub-r-10'],['push'],push red cube,"[['red', 'cube']]",[['move']],[['g0']],"[[1.0, 0.08578581688313018, 0.3785217471900015, 0.3148648283280251, 0.06632388599591131, 1.0, 0.08488269100741179, 0.06962103059552012]]"
00-01-1-1_0,1,0,00-01,['00-01-00-cub-r-10'],['push'],push red big cube,"[['red', 'big', 'cube']]",[['move']],[['g0']],"[[1.0, 0.023681472554733893, 0.2308122626572236, 0.6875626813665725, 0.017379360884571197, 1.0, 0.02339098099712509, 0.017173241539773773]]"
00-01-2-2_0,2,0,00-01,['00-01-00-cub-r-10'],['push'],push cube,[['cube']],[['move']],[['g0']],"[[1.0, 0.10388996757220104, 0.6419309642547747, 1.0, 0.07788759617173191, 1.0, 0.10090195309654715, 0.07538951890474514]]"
00-01-3-3_0,3,0,00-01,['00-01-00-cub-r-10'],['push'],push red solid,"[['red', 'solid']]",[['move']],[['g0']],"[[1.0, 0.04659433306315089, 1.0, 0.2764456704340802, 0.03220262055502729, 0.5633610990751317, 0.04807649290424419, 0.033319783968365636]]"
00-01-4-4_0,4,0,00-01,['00-01-00-cub-r-10'],['push'],push red big solid,"[['red', 'big', 'solid']]",[['move']],[['g0']],"[[1.0, 0.01649933426333461, 0.2933209158639867, 0.07407981548320991, 0.011931123378179647, 0.5746740140525242, 0.016914367159907143, 0.012580429798857817]]"
00-01-5-0_0,0,0,00-01,['00-01-01-cyl-r-10'],['not_applicable'],push red cylinder,"[['red', 'cylinder']]",[['move']],[['g0']],"[[0.051038181234090145, 1.0, 0.18805168645463471, 0.04788046574208925, 0.3189868418312541, 0.04870189065361132, 0.10952217550513771, 0.23581875857918258]]"
00-01-6-1_0,1,0,00-01,['00-01-01-cyl-r-10'],['not_applicable'],push red big cylinder,"[['red', 'big', 'cylinder']]",[['move']],[['g0']],"[[0.056718679660982034, 1.0, 0.2310178870464759, 0.053487658761341074, 0.2699943034318144, 0.053770816932618544, 0.12382868663356664, 0.2111819675332013]]"
00-01-7-2_0,2,0,00-01,['00-01-01-cyl-r-10'],['not_applicable'],push cylinder,[['cylinder']],[['move']],[['g0']],"[[0.04035292419206852, 1.0, 0.1174874754456759, 0.038296583630013814, 0.44710706608611717, 0.03972104804308915, 0.0775437866657092, 0.2394911159373262]]"
00-01-8-3_0,3,0,00-01,['00-01-01-cyl-r-10'],['not_applicable'],push red solid,"[['red', 'solid']]",[['move']],[['g0']],"[[0.061830933953421305, 1.0, 0.36251015750357424, 0.05912280219723117, 0.17468204753019395, 0.05750491480288624, 0.13727455013299827, 0.14707459387969496]]"
00-01-9-4_0,4,0,00-01,['00-01-01-cyl-r-10'],['not_applicable'],push red big solid,"[['red', 'big', 'solid']]",[['move']],[['g0']],"[[0.05790864216939167, 1.0, 0.21923271347936257, 0.05520163180092947, 0.2819907743251907, 0.05552360292986522, 0.12133007344988599, 0.20881256184537436]]"
00-01-10-0_0,0,0,00-01,['00-01-02-cub-y-10'],['push'],push yellow cube,"[['yellow', 'cube']]",[['move']],[['g0']],"[[0.19982174308906714, 0.17382623682176512, 1.0, 0.20153916623172685, 0.07981161485761107, 0.13639101518797983, 0.13438059603303207, 0.07422962777881781]]"
00-01-11-1_0,1,0,00-01,['00-01-02-cub-y-10'],['push'],push yellow big cube,"[['yellow', 'big', 'cube']]",[['move']],[['g0']],"[[0.36417431120523774, 0.12673128978191553, 1.0, 0.1329844481737355, 0.05978668952200229, 0.11271088535521016, 0.1393453271946627, 0.0642670487672361]]"
00-01-12-2_0,2,0,00-01,['00-01-02-cub-y-10'],['push'],push cube,[['cube']],[['move']],[['g0']],"[[0.3159818134946869, 0.13320178056652843, 1.0, 0.1657727097407136, 0.0639218608137385, 0.12591307926502934, 0.130243616269639, 0.06496513984966422]]"
00-01-13-3_0,3,0,00-01,['00-01-02-cub-y-10'],['push'],push yellow solid,"[['yellow', 'solid']]",[['move']],[['g0']],"[[0.18407550505243675, 0.21395228061389018, 1.0, 0.10461640641898348, 0.07471796192296601, 0.0941712156192636, 0.24439851358768575, 0.08406811678477431]]"
00-01-14-4_0,4,0,00-01,['00-01-02-cub-y-10'],['push'],push yellow big solid,"[['yellow', 'big', 'solid']]",[['move']],[['g0']],"[[0.3928889070712953, 0.1203575895032759, 1.0, 0.08839430990170648, 0.056224324341239494, 0.09124040207982667, 0.1800012632971993, 0.07089320380545684]]"
00-01-15-0_0,0,0,00-01,['00-01-03-cub-r-10'],['not_applicable'],push red cube,"[['red', 'cube']]",[['move']],[['g0']],"[[0.14469745344541568, 0.059484892965943476, 0.15449076737336812, 1.0, 0.04591724890454792, 0.5057767299798612, 0.051186666357003634, 0.038446240973860096]]"
00-01-16-1_0,1,0,00-01,['00-01-03-cub-r-10'],['not_applicable'],push red big cube,"[['red', 'big', 'cube']]",[['move']],[['g0']],"[[0.15716262199337297, 0.055707326610585604, 0.17173320226245603, 1.0, 0.041932013243537423, 0.48966380106094304, 0.04824600628041246, 0.03555502854869246]]"
00-01-17-2_0,2,0,00-01,['00-01-03-cub-r-10'],['not_applicable'],push cube,[['cube']],[['move']],[['g0']],"[[0.12968021370773922, 0.04941831258369407, 0.13048398830499747, 1.0, 0.03824788370956257, 0.5771722393690547, 0.042808638942795255, 0.03218872338215676]]"
00-01-18-3_0,3,0,00-01,['00-01-03-cub-r-10'],['not_applicable'],push red solid,"[['red', 'solid']]",[['move']],[['g0']],"[[0.5698115770109452, 0.06257145254893835, 0.22006858466911336, 1.0, 0.048026894034543445, 1.0, 0.05695687074266527, 0.04256462099379444]]"
00-01-19-4_0,4,0,00-01,['00-01-03-cub-r-10'],['not_applicable'],push red big solid,"[['red', 'big', 'solid']]",[['move']],[['g0']],"[[0.12338451676710203, 0.042746490598603394, 0.12055110524256557, 1.0, 0.03282748990455264, 0.6154474154978713, 0.03722665001419445, 0.027816331975110513]]"
00-01-20-0_0,0,0,00-01,['00-01-04-cyl-r-03'],['push'],push red cylinder,"[['red', 'cylinder']]",[['move']],[['g0']],"[[0.1382575601064671, 1.0, 0.34763787806743923, 0.12335932752155107, 1.0, 0.1346260496674942, 0.25611918463704836, 1.0]]"
00-01-21-1_0,1,0,00-01,['00-01-04-cyl-r-03'],['push'],push red small cylinder,"[['red', 'small', 'cylinder']]",[['move']],[['g0']],"[[0.1334213124869545, 1.0, 0.35954796422646995, 0.11599322506319089, 1.0, 0.12690929550226665, 0.26412820272111803, 1.0]]"
00-01-22-2_0,2,0,00-01,['00-01-04-cyl-r-03'],['push'],push cylinder,[['cylinder']],[['move']],[['g0']],"[[0.13400644908110718, 1.0, 0.35881974155310686, 0.11527288482133838, 1.0, 0.1268479612431664, 0.26505296330128114, 1.0]]"
00-01-23-3_0,3,0,00-01,['00-01-04-cyl-r-03'],['push'],push red solid,"[['red', 'solid']]",[['move']],[['g0']],"[[0.13371575651580356, 1.0, 0.3590519186674204, 0.11587266241754923, 1.0, 0.12702881274960237, 0.26433084964962444, 1.0]]"
00-01-24-4_0,4,0,00-01,['00-01-04-cyl-r-03'],['push'],push red small solid,"[['red', 'small', 'solid']]",[['move']],[['g0']],"[[0.13279930730014583, 1.0, 0.3608494959722178, 0.1156607660696402, 1.0, 0.12630123732804124, 0.26438919332995486, 1.0]]"
00-01-25-0_0,0,0,00-01,['00-01-05-cyl-r-10'],['push'],push red cylinder,"[['red', 'cylinder']]",[['move']],[['g0']],"[[0.353239751829253, 0.03547659510482681, 0.08539202409834248, 0.4366464899204764, 0.029434326151259228, 1.0, 0.032734329976576285, 0.02707648291926572]]"
00-01-26-1_0,1,0,00-01,['00-01-05-cyl-r-10'],['push'],push red big cylinder,"[['red', 'big', 'cylinder']]",[['move']],[['g0']],"[[0.6094931136882173, 0.0644523784085976, 0.1670693703127286, 1.0, 0.05248532490894007, 1.0, 0.05921193063107362, 0.04728788205044276]]"
00-01-27-2_0,2,0,00-01,['00-01-05-cyl-r-10'],['push'],push cylinder,[['cylinder']],[['move']],[['g0']],"[[0.4679587358968324, 0.08944669676403491, 0.22553101541535042, 1.0, 0.07247780413960593, 1.0, 0.08095271481543731, 0.06363303296873905]]"
00-01-28-3_0,3,0,00-01,['00-01-05-cyl-r-10'],['push'],push red solid,"[['red', 'solid']]",[['move']],[['g0']],"[[0.43709757247874187, 0.03235552805610491, 0.07990892308408128, 0.3691230040641777, 0.026753786583856208, 1.0, 0.029969518845823613, 0.024791666887214518]]"
00-01-29-4_0,4,0,00-01,['00-01-05-cyl-r-10'],['push'],push red big solid,"[['red', 'big', 'solid']]",[['move']],[['g0']],"[[0.23184325049169857, 0.03833644846785853, 0.08685420661925805, 0.5468781891944964, 0.032065304140059356, 1.0, 0.03504170281684236, 0.02898089826978671]]"
00-01-30-0_0,0,0,00-01,['00-01-06-cyl-r-03'],['push'],push red cylinder,"[['red', 'cylinder']]",[['move']],[['g0']],"[[0.08611472932850435, 0.5890592045589298, 1.0, 0.051707982349920176, 0.07877646647418807, 0.0537219031584106, 1.0, 0.14061971413004706]]"
00-01-31-1_0,1,0,00-01,['00-01-06-cyl-r-03'],['push'],push red small cylinder,"[['red', 'small', 'cylinder']]",[['move']],[['g0']],"[[0.02415810615246064, 0.8385256978795613, 1.0, 0.01525141677728263, 0.02987495518134548, 0.016192486280880755, 1.0, 0.07599733772846917]]"
00-01-32-2_0,2,0,00-01,['00-01-06-cyl-r-03'],['push'],push cylinder,[['cylinder']],[['move']],[['g0']],"[[0.032343090703838416, 0.8241932099514071, 1.0, 0.020786205354700923, 0.035636897736359696, 0.02146241817988729, 1.0, 0.06557817807380673]]"
00-01-33-3_0,3,0,00-01,['00-01-06-cyl-r-03'],['push'],push red solid,"[['red', 'solid']]",[['move']],[['g0']],"[[0.07459464908441052, 0.5979920648636199, 1.0, 0.04448441675542052, 0.07486093987861189, 0.047185537063984116, 1.0, 0.16088239235395305]]"
00-01-34-4_0,4,0,00-01,['00-01-06-cyl-r-03'],['push'],push red small solid,"[['red', 'small', 'solid']]",[['move']],[['g0']],"[[0.042453277547195245, 0.7589993230560429, 1.0, 0.026624427630581017, 0.0470453711663309, 0.027887423010863346, 1.0, 0.09699017758898643]]"
00-01-35-0_0,0,0,00-01,['00-01-07-cub-y-10'],['push'],push yellow cube,"[['yellow', 'cube']]",[['move']],[['g0']],"[[0.020237421960961854, 0.7041208389625676, 0.054006568045886834, 0.015543514955718448, 0.1487245406772067, 0.017955064829755885, 0.03941205056790255, 1.0]]"
00-01-36-1_0,1,0,00-01,['00-01-07-cub-y-10'],['push'],push yellow big cube,"[['yellow', 'big', 'cube']]",[['move']],[['g0']],"[[0.06231691430829278, 0.3720643072558086, 0.16186354908184258, 0.044304131615579424, 0.19575678180328276, 0.0528432883977764, 0.1108510275374174, 1.0]]"
00-01-37-2_0,2,0,00-01,['00-01-07-cub-y-10'],['push'],push cube,[['cube']],[['move']],[['g0']],"[[0.04167779887815064, 1.0, 0.11597939749668441, 0.03294290821130525, 0.6863098969254502, 0.037423513387810775, 0.08566648510059872, 1.0]]"
00-01-38-3_0,3,0,00-01,['00-01-07-cub-y-10'],['push'],push yellow solid,"[['yellow', 'solid']]",[['move']],[['g0']],"[[0.045703757235373184, 0.4891450935688841, 0.14258801055637704, 0.03221860034816679, 0.15547686791480883, 0.037761348408889416, 0.0971063219675007, 1.0]]"
00-01-39-4_0,4,0,00-01,['00-01-07-cub-y-10'],['push'],push yellow big solid,"[['yellow', 'big', 'solid']]",[['move']],[['g0']],"[[0.04695000267592263, 1.0, 0.12819771682720515, 0.037006465759123496, 0.6510122456743531, 0.04218602592066245, 0.09464754314273303, 1.0]]"
00-02-0-0_0,0,0,00-02,['00-02-00-cub-r-10'],['not_applicable'],push red cube,"[['red', 'cube']]",[['move']],[['g0']],"[[1.0, 0.040598335920889926, 1.0, 0.10490044292186487, 0.03571524757088573, 0.4933687848318791, 0.23539620916776446, 0.09002097958671591]]"
00-02-1-1_0,1,0,00-02,['00-02-00-cub-r-10'],['not_applicable'],push red big cube,"[['red', 'big', 'cube']]",[['move']],[['g0']],"[[1.0, 0.08530644087992176, 1.0, 0.2959834548337722, 0.07610917266918764, 1.0, 0.42326444853304496, 0.11933648308407349]]"
00-02-2-2_0,2,0,00-02,['00-02-00-cub-r-10'],['not_applicable'],push cube,[['cube']],[['move']],[['g0']],"[[1.0, 0.034398488043493575, 0.32710007174497985, 0.3145010621554008, 0.031326777128376546, 0.2174612796392311, 1.0, 0.0752123212885182]]"
00-02-3-3_0,3,0,00-02,['00-02-00-cub-r-10'],['not_applicable'],push red solid,"[['red', 'solid']]",[['move']],[['g0']],"[[1.0, 0.023078058132049183, 1.0, 0.10250601819504758, 0.02077770062164788, 0.44403071331808985, 0.36646125120796, 0.04314625852520544]]"
00-02-4-4_0,4,0,00-02,['00-02-00-cub-r-10'],['not_applicable'],push red big solid,"[['red', 'big', 'solid']]",[['move']],[['g0']],"[[1.0, 0.0269397404642451, 0.5992527849481075, 0.11915909712627677, 0.024224913307074363, 0.1446206661202063, 1.0, 0.08580279803408994]]"
00-02-5-0_0,0,0,00-02,['00-02-01-cub-r-10'],['push'],push red cube,"[['red', 'cube']]",[['move']],[['g0']],"[[0.08753237101474781, 1.0, 0.11538567299605973, 0.08915963431551174, 0.17633858640183198, 0.4146686510191973, 0.07569243467733248, 0.04122264957531888]]"
00-02-6-1_0,1,0,00-02,['00-02-01-cub-r-10'],['push'],push red big cube,"[['red', 'big', 'cube']]",[['move']],[['g0']],"[[0.06683687751632068, 1.0, 0.07620988605346521, 0.08340866513439565, 0.2604617604183451, 0.42490800975057585, 0.05980196354841453, 0.02837283757848306]]"
00-02-7-2_0,2,0,00-02,['00-02-01-cub-r-10'],['push'],push cube,[['cube']],[['move']],[['g0']],"[[0.09072021650086406, 1.0, 0.11289544384434605, 0.09880549223638725, 0.20474133651109086, 0.36856553930775776, 0.08155162202449284, 0.04272034957506098]]"
00-02-8-3_0,3,0,00-02,['00-02-01-cub-r-10'],['push'],push red solid,"[['red', 'solid']]",[['move']],[['g0']],"[[0.08058230819182426, 1.0, 0.09773171553569171, 0.09124100023906227, 0.2165075691806771, 0.40593582273848144, 0.07168715638442558, 0.03631442772983762]]"
00-02-9-4_0,4,0,00-02,['00-02-01-cub-r-10'],['push'],push red big solid,"[['red', 'big', 'solid']]",[['move']],[['g0']],"[[0.08651683770499546, 1.0, 0.11162069696934795, 0.09034512626522027, 0.1855789970671187, 0.41006090044394183, 0.07546070091000598, 0.040416740639369876]]"
00-02-10-0_0,0,0,00-02,['00-02-02-cub-y-10'],['push'],push yellow cube,"[['yellow', 'cube']]",[['move']],[['g0']],"[[0.3660158391197389, 0.04852924505947324, 1.0, 0.05862914765961607, 0.0392616986871035, 0.34402582525732545, 0.08074931841026346, 0.06278892580647955]]"
00-02-11-1_0,1,0,00-02,['00-02-02-cub-y-10'],['push'],push yellow big cube,"[['yellow', 'big', 'cube']]",[['move']],[['g0']],"[[0.23267025929385468, 0.08788847648715577, 1.0, 0.08609440747483989, 0.068557222517873, 0.3120330896172451, 0.11564339959795497, 0.0971131450110766]]"
00-02-12-2_0,2,0,00-02,['00-02-02-cub-y-10'],['push'],push cube,[['cube']],[['move']],[['g0']],"[[0.24946944932330992, 0.0872575208029509, 1.0, 0.09054599667062661, 0.06968157220748673, 0.25032614153274735, 0.13174651910054924, 0.12097280036232909]]"
00-02-13-3_0,3,0,00-02,['00-02-02-cub-y-10'],['push'],push yellow solid,"[['yellow', 'solid']]",[['move']],[['g0']],"[[0.8417357000507801, 0.01253931687340307, 1.0, 0.017935629586125844, 0.010500092959640958, 0.05967187009880902, 0.03035527203892612, 0.02726211839231484]]"
